Part code,ชื่อวัสดุ,หน่วยนับ,จำนวนขั้นต่ำ,ประเภทสินค้า,กลุ่ม/หมวดหมู่สินค้า,cost center,work center,account code,activity code,Images,ราคาวัสดุ(AVG COST),หน่วยนับ(ย่อย),2 หน่วยนับ,ตัวคำนวน,,
BIF81100001,ค่าซ่อมเครน,EA,,Service,ค่าจ้างงานบริการ,811,680,68161,,,,,FALSE,,,
BIF81100002,ค่าขนย้ายเหล็กเก่า,EA,,Service,ค่าจ้างงานบริการ,811,680,67299,,,,,FALSE,,,
BIF81100003,ค่าวัสดุสิ้นเปลือง [Spare part],EA,,Expense,ค่าใช้จ่าย,811,680,56120,,,,,FALSE,,,
BIF81100004,ค่าวัสดุสิ้นเปลือง [Consumable],EA,,Expense,ค่าใช้จ่าย,811,680,56130,,,,,FALSE,,,
BIF81100005,ค่าซ่อมบำรุงรักษาเครื่องจักร / เครื่องมือ ฯ,EA,,Service,ค่าจ้างงานบริการ,811,680,68151,,,,,FALSE,,,
BIF81100006,"ค่าขนส่ง , ขนย้าย วัตถุดิบ / วัสดุ / อุปกรณ์",EA,,Service,ค่าจ้างงานบริการ,811,680,66903,,,,,FALSE,,,
BIF81100007,ค่าเช่าพื้นที่โรงงาน,EA,,Expense,ค่าใช้จ่าย,811,680,62101,,,,,FALSE,,,
BIF81100008,ค่าดำเนินการขออนุญาติประกอบกิจการโรงงาน,EA,,Expense,ค่าใช้จ่าย,811,680,67299,,,,,FALSE,,,
BIF81100009,ค่าจ้างแรงงานประเภทสัญญาจ้าง Outsource,EA,,Service,ค่าจ้างงานบริการ,811,680,67299,,,,,FALSE,,,
BIF81100010,ค่าใช้จ่ายการนำกลับมาใช้ให้เกิดประโยชน์,EA,,Expense,ค่าใช้จ่าย,811,680,66903,,,,,FALSE,,,
BIF81100011,ยอดงบประมาณการซื้อเหล็กเก่าของ SSI - บางสะพาน,EA,,Expense,ค่าใช้จ่าย,811,680,56130,,,,,FALSE,,,
BIF81100012,ค่าจ้างพนักงานรักษาความปลอดภัย,EA,,Expense,ค่าใช้จ่าย,811,680,67201,,,,,FALSE,,,
BIF81100013,การจัดอบรม,EA,,Expense,ค่าใช้จ่าย,811,680,65104,,,,,FALSE,,,
BIF81100014,ค่าเดินทาง,EA,,Expense,ค่าใช้จ่าย,811,680,61412,,,,,FALSE,,,
BIF81100015,ค่าเบี้ยเลี้ยง,EA,,Expense,ค่าใช้จ่าย,811,680,61411,,,,,FALSE,,,
BIF81100016,ค่าที่พัก,EA,,Expense,ค่าใช้จ่าย,811,680,61413,,,,,FALSE,,,
BIF81100017,ค่าไฟฟ้า,EA,,Expense,ค่าใช้จ่าย,811,680,62311,,,,,FALSE,,,
BIF81100018,ค่าน้ำ,EA,,Expense,ค่าใช้จ่าย,811,680,62330,,,,,FALSE,,,
BIF81100019,ค่าขนย้ายเหล็กเก่า,Job,,Service,ค่าจ้างงานบริการ,811,680,67299,,,,,FALSE,,,
BIF81100022,ค่าจ้างแรงงานประเภทสัญญาจ้าง Outsource,KG,,Expense,ค่าใช้จ่าย,811,680,67299,,,,,FALSE,,,
BIF81100023,Bank fee - Letter of Guarantee,EA,,Expense,ค่าใช้จ่าย,811,680,69324,,,,,FALSE,,,
BIF81100024,Water,EA,,Expense,ค่าใช้จ่าย,811,680,62330,,,,,FALSE,,,
BIF81100025,Printing & Stationary,EA,,Expense,ค่าใช้จ่าย,811,680,62401,,,,,FALSE,,,
BIF81100026,License & Other Fee,EA,,Expense,ค่าใช้จ่าย,811,680,69339,,,,,FALSE,,,
BIF81100027,Drink Water,EA,,Expense,ค่าใช้จ่าย,811,680,61249,,,,,FALSE,,,
BIF81100027,Computer Supplies,EA,,Expense,ค่าใช้จ่าย,811,680,62403,,,,,FALSE,,,
BIF81100029,"Expense Office Equipment, Furniture & Fixture",EA,,Expense,ค่าใช้จ่าย,811,680,62412,,,,,FALSE,,,
BIF81100030,ถังน้ำดื่มน้ำเปล่า,EA,,Expense,ค่าใช้จ่าย,811,680,61249,,,,,FALSE,,,
BIF81100032,CO2,Cyl,40,Consumable,อุปกรณ์งานตัด,811,680,56130,,,378,,FALSE,,,
BIF81100033,ลวดเชื่อม Flux core1.2,EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,555,,FALSE,,,
BIF81100034,Electrode (220971),EA,10,Consumable,อุปกรณ์งานตัด,811,680,56130,,,360,,FALSE,,,
BIF81100035,Oxygen,Cyl,10,Consumable,อุปกรณ์งานตัด,811,680,56130,,,120,,FALSE,,,
BIF81100036,contact Tip 2.4 mm,EA,3,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,,,FALSE,,,
BIF81100037,ค่าบริการทดสอบน้าหนักรอกสลิงไฟฟ้า และเครนไฟฟ้า,EA,,Service,ค่าจ้างงานบริการ,811,680,,,,,,FALSE,,,
BIF81100039,ค่าจ้างพนักงานรักษาความปลอดภัย,Month,,Expense,ค่าใช้จ่าย,811,680,67201,,,,,FALSE,,,
BIF81100040,ค่าเช่า Building,Month,,Expense,ค่าใช้จ่าย,811,680,62101,,,,,FALSE,,,
BIF81100041,แปรงทาสี,EA,30,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,40,,FALSE,,,
BIF81100042,แก๊ส (LPG) 48k.,EA,15,Consumable,อุปกรณ์งานตัด,811,680,56130,,,1265,,FALSE,,,
BIF81100045,Tip Holder pana 350a,EA,10,Consumable,อุปกรณ์งานตัด,811,680,56130,,,120,,FALSE,,,
BIF81100049,"ลูกกลิ้งทาสี 4"" เล็ก(10ชิ้น/แพ็ค)",EA,12,Consumable,อุปกรณ์งานสี,811,680,56130,,,9.5,PCS,TRUE,10,,Remark : แก้ไขหน่วย บน Oracle เป็น EA
BIF81100050,ไม้รองชิ้นงาน,EA,300,Consumable,อุปกรณ์งาน Load,811,680,56130,,,20,,FALSE,,,
BIF81100051,Flux ซับเมิกร์,EA,20,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1025,,FALSE,,,
BIF81100052,ลวดเชื่อม ซับเมิร์ก 2.4 mm,EA,20,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1025,,FALSE,,,
BIF81100053,O2 (16EA/Pack),Pack,5,Consumable,อุปกรณ์งานตัด,811,680,56130,,,1250,PCS,TRUE,16,,
BIF81100054,Nozzlen (220975),EA,10,Consumable,อุปกรณ์งานตัด,811,680,56130,,,360,,FALSE,,,
BIF81100055,ลวดเชื่อมไฟฟ้า RB- 26 2.6 x 350mm ( 1 EA = 1000 เส้น),EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1000,Small Box,FALSE,5,,
BIF81100056,ลวดเชื่อมไฟฟ้า LB -52 LB 3.2x350mm ( 1 EA = 1000 เส้น),EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1060,,FALSE,,,
BIF81100057,ใบเจียรบาง 4 นิ้ว (25 Pcs/Box),Box,50,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,237,PCS,TRUE,25,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
BIF81100058,อินซูเลเตอร์ 350amp.,EA,10,Consumable,Spare part,811,680,56130,,,80,,FALSE,,,
BIF81100059,"แปรงถ่านหินเจียร DEWALT. 4""",EA,10,Consumable,Spare part,811,680,56130,,,260,,FALSE,,,
BIF81100060,แปรงถ่านหินเจียร MAKITA.,EA,10,Consumable,Spare part,811,680,56130,,,180,,FALSE,,,
BIF81100061,"แปรงถ่านหินเจียร ฮิตาชิ 7""",EA,10,Consumable,Spare part,811,680,56130,,,60,,FALSE,,,
BIF81100062,Hypertherm Cartridge (428926) 30-45A.,PCS,30,Consumable,Spare part,811,680,56130,,,2125,,FALSE,,,
BIF81100063,Hypertherm Cartridge (428930) 65A.,PCS,30,Consumable,Spare part,811,680,56130,,,1955,,FALSE,,,
BIF81100064,Nozzle Pana Mig 350 A.,PCS,12,Consumable,Spare part,811,680,56130,,,90,,FALSE,,,
BIF81100065,ปากกา SOLID MARKER (สีเหลือง),EA,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,100,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
